,Real Estate ($K),Cash ($K),Bonds ($K),Equity Investments ($K),Alternative Investments ($K),Liabilities ($K),NAV ($K), Expenses ($) ,CPI-U
1/31/2020,"$2,067",$944,$815,"$1,715",$115,-$190,"$5,465"," $ (8,297)",257.971
2/29/2020,"$2,030",$664,$872,"$1,779",$121,-$152,"$5,314"," $ (6,956)",258.678
3/31/2020,"$2,078",$765,$849,"$1,501",$90,-$113,"$5,170"," $ (4,517)",258.115
4/30/2020,"$2,087","$1,135",$827,"$1,228",$123,-$124,"$5,275"," $ (5,316)",256.389
5/31/2020,"$2,059","$1,220",$793,"$1,215",$149,-$135,"$5,300"," $ (5,162)",256.394
6/30/2020,"$1,995","$1,629",$787,$857,$149,-$130,"$5,286"," $ (6,708)",257.797
7/31/2020,"$2,046","$1,616",$784,$908,$161,-$155,"$5,359"," $ (6,381)",259.101
8/31/2020,"$2,065","$1,648",$746,$961,$173,-$178,"$5,414"," $ (5,844)",259.918
9/30/2020,"$2,002","$1,637",$745,$919,$158,-$137,"$5,323"," $ (9,313)",260.28
10/31/2020,"$2,054","$1,656",$728,$900,$160,-$145,"$5,354"," $ (7,708)",260.388
11/30/2020,"$2,150",$914,$676,"$1,797",$175,-$192,"$5,519"," $ (3,822)",260.229
12/31/2020,"$2,193",$633,$649,"$2,190",$197,-$220,"$5,641"," $ (11,705)",260.474
1/31/2021,"$2,235",$558,$647,"$2,296",$230,-$314,"$5,652"," $ (4,291)",261.582
2/28/2021,"$2,238",$582,$710,"$2,307",$223,-$331,"$5,729"," $ (5,588)",263.014
3/31/2021,"$2,270",$618,$676,"$2,307",$240,-$345,"$5,766"," $ (10,131)",264.877
4/30/2021,"$2,364",$613,$676,"$2,389",$261,-$390,"$5,914"," $ (6,549)",267.054
5/31/2021,"$2,462",$657,$633,"$2,449",$230,-$421,"$6,009"," $ (7,805)",269.195
6/30/2021,"$2,744",$667,$607,"$2,448",$217,-$485,"$6,198"," $ (8,123)",271.696
7/31/2021,"$2,957",$686,$584,"$2,437",$229,-$535,"$6,357"," $ (7,782)",273.003
8/31/2021,"$2,943",$711,$556,"$2,484",$248,-$548,"$6,394"," $ (5,905)",273.567
9/30/2021,"$2,949",$722,$542,"$2,387",$236,-$523,"$6,312"," $ (10,741)",274.31
10/31/2021,"$3,041",$778,$487,"$2,503",$271,-$580,"$6,501"," $ (5,941)",276.589
11/30/2021,"$3,077",$794,$466,"$2,427",$265,-$568,"$6,461"," $ (8,646)",277.948
12/31/2021,"$3,156",$813,$460,"$2,510",$264,-$609,"$6,594"," $ (8,342)",278.802
1/31/2022,"$3,254",$750,$411,"$2,558",$238,-$602,"$6,610"," $ (7,149)",281.148
2/28/2022,"$3,372",$730,$409,"$2,490",$247,-$609,"$6,639"," $ (7,149)",283.716
3/31/2022,"$3,547",$790,$352,"$2,520",$263,-$660,"$6,811"," $ (6,423)",287.504
4/30/2022,"$3,783",$790,$348,"$2,357",$240,-$672,"$6,846"," $ (6,423)",289.109
5/31/2022,"$3,819",$832,$312,"$2,388",$228,-$687,"$6,893"," $ (2,486)",292.296
6/30/2022,"$3,692",$842,$310,"$2,191",$199,-$608,"$6,626"," $ (7,572)",296.311
7/31/2022,"$2,582","$1,676",$325,"$2,271",$231,-$497,"$6,587"," $ (4,795)",296.276
8/31/2022,"$2,362",$892,$371,"$2,914",$233,-$424,"$6,349"," $ (4,003)",296.171
9/30/2022,"$2,332",$878,$377,"$2,630",$210,-$337,"$6,089"," $ (10,522)",296.808
